DATE,AFDIS,AFRICAN SUN,ART ZDR,ARISTON,AXIA,BAT,CAFCA,CBZ,CFI,DAIRIBORD,DELTA,ECOCASH,ECONET,EDGARS,FBCH,FIDELITY,FCA/BARCLAYS,(fml)/AFRE,FMP,GB HOLDINGS,GET BUCKS,HIPPO,INNSCOR,LAFARGE CEMENT,MASH  HLDS,MASIMBA,MEDTECH,MEDTECH CLASS B,MEIK,NAMPAK,NATFOODS,N T S,N.M.B,OK ZIMBABWE,PROPLASTICS,R T G,RIOZIM,SEED-CO,SIMBISA,STAR AFRICA,TANGANDA,TRUWORTHS,T. S. L,TURNALL,UNIFREIGHT,WILLDALE,ZBFH,ZECO,ZIMPAPERS,ZIMPLOW,ZIMRE
26-Jan-22,125.0000,7.4242,10.5000,3.5292,42.6885,3085.0000,170.0000,71.5000,102.0000,37.0000,172.1493,59.8798,86.4477,4.9928,30.3984,11.3500,3.5068,21.6000,7.4100,1.6209,4.8500,260.0000,202.3600,82.0232,2.4007,50.0000,23.1000,32.0000,120.6038,13.5000,1350.0000,5.1100,12.8930,27.1500,27.0000,7.5000,45.0000,113.6500,130.0757,1.4426,0,2.0000,75.1111,4.9158,35.1667,3.2273,79.3750,0.0200,2.7801,22.0000,3.4989
27-Jan-22,125.0000,6.5274,10.2000,3.5339,43.1499,3075.0000,170.0000,78.5000,102.0000,35.0187,188.6207,59.0482,94.3992,4.4020,30.1176,11.3500,3.5010,21.8905,7.4000,1.6257,5.0200,260.0000,207.2950,82.0232,2.0049,48.0000,23.0833,32.0000,122.0435,13.5000,1300.0000,5.1100,12.9825,27.1032,27.0000,7.6272,45.0000,122.0000,131.7652,1.4731,0,2.0000,75.0000,4.9525,33.5000,3.2164,79.3750,0.0200,2.7801,22.0000,3.5000
28-Jan-22,126.0000,6.5258,10.2000,3.5266,43.4133,2999.0000,170.0000,78.9921,102.0000,37.6000,187.8284,58.0115,97.9773,4.5000,30.0833,11.4000,3.4314,21.9842,7.0031,1.9003,5.0467,260.0500,209.0408,82.0232,2.3000,45.0735,23.1000,32.0000,120.1923,13.5000,1300.1463,5.1100,13.0022,27.0112,27.0000,7.5000,45.0000,125.0000,131.4290,1.5099,0,2.0000,80.0000,4.9833,30.0000,3.2182,73.0000,0.0200,2.7801,20.4427,3.4733
29-Jan-22,126.0000,6.5258,10.2000,3.5266,43.4133,2999.0000,170.0000,78.9921,102.0000,37.6000,187.8284,58.0115,97.9773,4.5000,30.0833,11.4000,3.4314,21.9842,7.0031,1.9003,5.0467,260.0500,209.0408,82.0232,2.3000,45.0735,23.1000,32.0000,120.1923,13.5000,1300.1463,5.1100,13.0022,27.0112,27.0000,7.5000,45.0000,125.0000,131.4290,1.5099,0,2.0000,80.0000,4.9833,30.0000,3.2182,73.0000,0.0200,2.7801,20.4427,3.4733
30-Jan-22,126.0000,6.5258,10.2000,3.5266,43.4133,2999.0000,170.0000,78.9921,102.0000,37.6000,187.8284,58.0115,97.9773,4.5000,30.0833,11.4000,3.4314,21.9842,7.0031,1.9003,5.0467,260.0500,209.0408,82.0232,2.3000,45.0735,23.1000,32.0000,120.1923,13.5000,1300.1463,5.1100,13.0022,27.0112,27.0000,7.5000,45.0000,125.0000,131.4290,1.5099,0,2.0000,80.0000,4.9833,30.0000,3.2182,73.0000,0.0200,2.7801,20.4427,3.4733
31-Jan-22,126.0000,6.5464,10.2000,3.5000,43.3943,2999.0000,170.0000,80.0000,102.0000,35.0765,187.6513,54.2680,99.9671,4.9000,30.0000,12.0000,3.4056,21.9583,7.0000,1.9023,4.9174,260.0000,209.1946,82.0232,2.7600,45.0735,23.1000,32.0000,119.9400,13.5000,1300.1463,5.6000,13.0021,26.9867,27.0000,7.4583,44.0000,128.0515,131.7151,1.4651,0,1.9809,80.0000,4.9833,30.0000,3.7000,73.0000,0.0200,2.7801,21.5000,3.4164
1-Feb-22,126.0000,6.6889,10.0000,3.4373,43.4892,2999.0000,170.0000,81.2308,102.0000,35.0000,192.3954,54.3342,100.0222,4.5625,29.0000,11.3333,3.3986,21.9583,6.5000,1.9000,5.0000,260.0000,210.5888,82.0232,2.9747,50.0000,25.0000,32.0000,125.0000,13.5000,1350.0000,5.6000,12.0000,26.9589,27.0000,7.3636,44.0000,129.4737,134.1829,1.4291,0,1.9956,80.0000,5.5000,27.0000,3.6500,73.0000,0.0200,2.7800,21.4893,3.3234
2-Feb-22,125.0000,7.2857,9.8656,3.3571,43.0074,2999.0000,170.0000,82.9737,102.0000,35.0000,192.5308,55.0368,100.1472,4.5011,29.0000,11.3333,3.3455,21.0000,6.7500,1.8800,5.0000,260.0038,219.1796,82.0500,3.2000,45.0000,24.9875,32.0000,125.0000,13.4000,1350.0000,5.6000,12.2778,26.9814,27.0000,7.3636,43.7272,129.4737,134.6047,1.4064,0,1.9981,80.0000,5.0037,31.0000,3.6386,73.0000,0.0200,2.7800,21.0068,3.2005
3-Feb-22,126.0000,6.9978,10.2000,3.3192,43.9948,2999.0000,170.0000,84.4444,102.0000,35.0000,195.1182,56.6500,100.3273,4.4286,29.1250,11.3500,3.5000,21.0000,6.2000,1.8042,5.0000,260.0000,222.0581,82.0500,3.1368,45.0000,24.9875,32.0000,125.0000,13.4420,1305.0000,6.7200,13.0000,25.0052,27.0000,7.3636,43.7272,129.4737,134.9054,1.4049,67.0601,1.9981,80.0000,5.0000,31.0000,3.6204,71.0000,0.0200,2.7800,20.9728,3.4215
4-Feb-22,126.0000,7.0000,10.2000,3.3200,50.0000,2999.0000,170.0000,86.5357,102.0000,35.0000,200.3496,56.0183,105.2532,4.4030,29.1250,11.3500,3.4979,21.4286,6.7233,1.8000,5.0417,260.0000,226.6205,82.0500,3.2384,45.0000,24.9875,32.0000,123.6371,13.4000,1355.0000,6.7200,13.0000,26.2858,27.0000,7.3636,43.7272,128.9986,135.4881,1.4067,60.1000,1.9993,80.0000,5.0000,31.0000,3.6000,78.9500,0.0200,2.7800,21.4808,3.4405
