Code,Company,Sector,Keywords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIMBISA,Simbisa Brands,Consumer goods ,Fast foods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR AFRICA,Star Africa Corporation,Consumer goods,"Sugar, sugar cane",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TANGANDA,Tanganda Tea Company,"Consumer goods, Agriculture",tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUWORTHS,Truworths,Retailer,Clothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T. S. L,TSL Limitesd,Agriculture,Tobacco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TURNALL,Turnall Holdings,Consumer goods,"Building materials, building",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIFREIGHT,Unifreight,Transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILLDALE,Willdale bricks,Consumer goods,"Building materials, building, bricks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBFH,ZB Financial Holdings,Financial,"Banking, insurance, investments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZECO,ZECO Holdings,Engineering,"Steel fabrication, steel installation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZIMPAPERS,Zimpapers,Media,"Commercial printing, radio, television, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZIMPLOW,Zimplow Limited,"Agriculture, Manufacturing","Agriculture equipment, good harvest, heavy rainfall",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZIMRE,Zimre Holdings,Financial,"Insurance, health, property, medical aid, pelnsion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
